filename,0,File-bits,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation
./embedded-js-graalvm-linux-x64-debug.tar,1,1077002240,0.914980,124424287.098390,0.330053,3.544588,0.214144
./embedded-js-graalvm-linux-x64-debug.tar.tar,1,1077084160,0.914955,124470027.263581,0.330028,3.543947,0.214173
./embedded-js-graalvm-linux-x64-O0.tar,1,1076428800,0.914979,124359843.482913,0.330051,3.546229,0.214998
./embedded-js-graalvm-linux-x64-O0.tar.tar,1,1076510720,0.914954,124405607.029104,0.330027,3.546332,0.215027
./embedded-js-graalvm-linux-x64-O1.tar,1,927006720,0.928517,90334941.787923,0.343917,3.476019,0.225313
./embedded-js-graalvm-linux-x64-O1.tar.tar,1,927088640,0.928490,90377676.776818,0.343887,3.474440,0.225349
./embedded-js-graalvm-linux-x64-O2.tar,1,1123123200,0.934076,101069822.713891,0.350008,3.438696,0.222753
./embedded-js-graalvm-linux-x64-O2.tar.tar,1,1123205120,0.934053,101111185.276960,0.349983,3.438177,0.222783
./embedded-js-graalvm-linux-x64-O3.tar,1,1399439360,0.942089,110838531.049320,0.359286,3.402742,0.226604
./embedded-js-graalvm-linux-x64-O3.tar.tar,1,1399521280,0.942071,110877759.378284,0.359265,3.405676,0.226629
./embedded-js-graalvm-linux-x64-Os.tar,1,823214080,0.923832,85383479.716110,0.338972,3.522223,0.224685
./embedded-js-graalvm-linux-x64-Os.tar.tar,1,823296000,0.923800,85427303.904055,0.338939,3.522872,0.224724
./embedded-js-graalvm-linux-x64-prof.tar,1,1176535040,0.937677,100177416.606494,0.354101,3.513673,0.186231
./embedded-js-graalvm-linux-x64-prof.tar.tar,1,1176616960,0.937656,100217839.242874,0.354077,3.516688,0.186261
./fork-join-pool-graalvm-linux-x64-debug.tar,1,383385600,0.940277,31301586.796515,0.357132,3.933580,0.093742
./fork-join-pool-graalvm-linux-x64-debug.tar.tar,1,383467520,0.940213,31341284.391969,0.357057,3.932876,0.093849
./fork-join-pool-graalvm-linux-x64-O0.tar,1,49397760,0.870313,8611456.572306,0.291236,3.624712,0.265531
./fork-join-pool-graalvm-linux-x64-O0.tar.tar,1,49479680,0.869703,8665004.829095,0.290762,3.628655,0.266021
./fork-join-pool-graalvm-linux-x64-O1.tar,1,44646400,0.870371,7779780.349893,0.291282,3.619521,0.289204
./fork-join-pool-graalvm-linux-x64-O1.tar.tar,1,44728320,0.869697,7833328.196155,0.290757,3.615303,0.289728
./fork-join-pool-graalvm-linux-x64-O2.tar,1,53575680,0.891096,7882790.197392,0.308210,3.550523,0.279335
./fork-join-pool-graalvm-linux-x64-O2.tar.tar,1,53657600,0.890555,7933062.754624,0.307746,3.572951,0.279817
./fork-join-pool-graalvm-linux-x64-O3.tar,1,65126400,0.910337,7926016.902737,0.325571,3.509767,0.278684
./fork-join-pool-graalvm-linux-x64-O3.tar.tar,1,65208320,0.909913,7972723.129541,0.325168,3.505342,0.279113
./fork-join-pool-graalvm-linux-x64-Os.tar,1,39895040,0.871425,6897088.478670,0.292105,3.675321,0.293554
./fork-join-pool-graalvm-linux-x64-Os.tar.tar,1,39976960,0.870671,6950489.187308,0.291516,3.677019,0.294140
./fork-join-pool-graalvm-linux-x64-prof.tar,1,418775040,0.933571,37969587.900563,0.349444,3.925918,0.108062
./fork-join-pool-graalvm-linux-x64-prof.tar.tar,1,418856960,0.933510,38011040.806125,0.349377,3.926248,0.108155
./fork-join-pool-isolate-graalvm-linux-x64-debug.tar,1,387317760,0.938451,32574960.402126,0.354997,3.934226,0.097184
./fork-join-pool-isolate-graalvm-linux-x64-debug.tar.tar,1,387399680,0.938388,32615114.720640,0.354923,3.935497,0.097288
./fork-join-pool-isolate-graalvm-linux-x64-O0.tar,1,49397760,0.870952,8570395.915812,0.291735,3.637255,0.263845
./fork-join-pool-isolate-graalvm-linux-x64-O0.tar.tar,1,49479680,0.870343,8623800.527347,0.291260,3.639827,0.264337
./fork-join-pool-isolate-graalvm-linux-x64-O1.tar,1,44646400,0.872513,7655223.953455,0.292959,3.627400,0.286305
./fork-join-pool-isolate-graalvm-linux-x64-O1.tar.tar,1,44728320,0.871842,7708406.382423,0.292432,3.628717,0.286835
./fork-join-pool-isolate-graalvm-linux-x64-O2.tar,1,53575680,0.894620,7634216.035972,0.311258,3.554867,0.277848
./fork-join-pool-isolate-graalvm-linux-x64-O2.tar.tar,1,53657600,0.894084,7683829.834076,0.310790,3.564817,0.278336
./fork-join-pool-isolate-graalvm-linux-x64-O3.tar,1,65126400,0.911240,7847902.811476,0.326433,3.507518,0.277726
./fork-join-pool-isolate-graalvm-linux-x64-O3.tar.tar,1,65208320,0.910817,7894386.005153,0.326029,3.505413,0.278157
./fork-join-pool-isolate-graalvm-linux-x64-Os.tar,1,40468480,0.863495,7413339.448559,0.285998,3.684362,0.296300
./fork-join-pool-isolate-graalvm-linux-x64-Os.tar.tar,1,40550400,0.862744,7467815.895006,0.285430,3.659474,0.296857
./fork-join-pool-isolate-graalvm-linux-x64-prof.tar,1,423526400,0.931467,39596804.255948,0.347117,3.926448,0.112140
./fork-join-pool-isolate-graalvm-linux-x64-prof.tar.tar,1,423608320,0.931406,39638741.915852,0.347051,3.926135,0.112230
./grpc-dotnet-linux-x64-debug.tar,1,685178880,0.970762,27583717.851129,0.399678,3.635148,0.161339
./grpc-dotnet-linux-x64-debug.tar.tar,1,685260800,0.970734,27613034.604073,0.399631,3.635515,0.161405
./grpc-dotnet-linux-x64-release.tar,1,514949120,0.968822,22096328.778813,0.396427,3.726342,0.156652
./grpc-dotnet-linux-x64-release.tar.tar,1,515031040,0.968784,22126478.820564,0.396364,3.728469,0.156739
./grpc-dotnet-linux-x64-sf.tar,1,514949120,0.968822,22096425.723548,0.396426,3.726342,0.156653
./grpc-dotnet-linux-x64-sf.tar.tar,1,515031040,0.968784,22126592.405456,0.396364,3.728469,0.156740
./grpc-dotnet-linux-x64-static-sf.tar,1,514949120,0.968822,22096283.206575,0.396427,3.726342,0.156652
./grpc-dotnet-linux-x64-static-sf.tar.tar,1,515031040,0.968784,22126429.075448,0.396364,3.728469,0.156739
./grpc-dotnet-linux-x64-static.tar,1,514949120,0.968822,22096352.807830,0.396427,3.726342,0.156652
./grpc-dotnet-linux-x64-static.tar.tar,1,515031040,0.968784,22126507.009488,0.396364,3.728469,0.156739
./hello-isolate-graalvm-linux-x64-debug.tar,1,382238720,0.941018,30825782.589593,0.358009,3.933894,0.092003
./hello-isolate-graalvm-linux-x64-debug.tar.tar,1,382320640,0.940955,30865289.822472,0.357934,3.933323,0.092110
./hello-isolate-graalvm-linux-x64-O0.tar,1,48824320,0.874158,8266919.923008,0.294258,3.635692,0.261300
./hello-isolate-graalvm-linux-x64-O0.tar.tar,1,48906240,0.873544,8319928.744518,0.293772,3.637873,0.261807
./hello-isolate-graalvm-linux-x64-O1.tar,1,44646400,0.871998,7685226.160364,0.292554,3.598419,0.286418
./hello-isolate-graalvm-linux-x64-O1.tar.tar,1,44728320,0.871324,7738556.456616,0.292026,3.628876,0.286948
./hello-isolate-graalvm-linux-x64-O2.tar,1,53002240,0.895348,7501658.734438,0.311894,3.563160,0.271906
./hello-isolate-graalvm-linux-x64-O2.tar.tar,1,53084160,0.894806,7551214.730867,0.311420,3.547909,0.272406
./hello-isolate-graalvm-linux-x64-O3.tar,1,65126400,0.909299,8015796.498219,0.324586,3.509944,0.275342
./hello-isolate-graalvm-linux-x64-O3.tar.tar,1,65208320,0.908873,8062727.666839,0.324184,3.511949,0.275771
./hello-isolate-graalvm-linux-x64-Os.tar,1,40468480,0.862349,7473458.535160,0.285132,3.688969,0.296185
./hello-isolate-graalvm-linux-x64-Os.tar.tar,1,40550400,0.861596,7528173.200760,0.284565,3.682334,0.296741
./hello-isolate-graalvm-linux-x64-prof.tar,1,419020800,0.933167,38218887.174148,0.348995,3.924444,0.108015
./hello-isolate-graalvm-linux-x64-prof.tar.tar,1,419102720,0.933107,38260455.975716,0.348928,3.925929,0.108107
./hello-world-clang-linux-x64-debug.tar,1,163840,0.315941,128538.906250,0.057129,3.984764,0.438318
./hello-world-clang-linux-x64-O0.tar,1,163840,0.262047,136043.064062,0.044385,3.982420,0.454472
./hello-world-clang-linux-x64-O1.tar,1,163840,0.258849,136473.504785,0.043665,3.983592,0.453346
./hello-world-clang-linux-x64-O2.tar,1,163840,0.258659,136499.060767,0.043622,3.983592,0.453128
./hello-world-clang-linux-x64-O3.tar,1,163840,0.258794,136480.806250,0.043652,3.983592,0.453200
./hello-world-clang-linux-x64-Of.tar,1,163840,0.264744,135678.816016,0.044995,3.980076,0.455279
./hello-world-clang-linux-x64-Og.tar,1,163840,0.259012,136451.601562,0.043701,3.983592,0.453345
./hello-world-clang-linux-x64-Os.tar,1,163840,0.258468,136524.619141,0.043579,3.985936,0.452470
./hello-world-clang-linux-x64-static.tar,1,6799360,0.929575,652946.389307,0.345056,3.352643,0.311442
./hello-world-clang-linux-x64-static.tar.tar,1,6881280,0.925773,695858.081287,0.341001,3.363644,0.315656
./hello-world-dotnet-linux-x64-debug.tar,1,68075520,0.965269,3251299.972025,0.390729,3.413837,0.188550
./hello-world-dotnet-linux-x64-debug.tar.tar,1,68157440,0.964970,3282937.307828,0.390265,3.414386,0.189166
./hello-world-dotnet-linux-x64-release.tar,1,37765120,0.971567,1478782.183823,0.401059,3.431836,0.162655
./hello-world-dotnet-linux-x64-release.tar.tar,1,37847040,0.971068,1507818.882103,0.400200,3.434086,0.163851
./hello-world-dotnet-linux-x64-sf.tar,1,37765120,0.971566,1478819.385905,0.401058,3.431836,0.162658
./hello-world-dotnet-linux-x64-sf.tar.tar,1,37847040,0.971067,1507873.173553,0.400199,3.434086,0.163856
./hello-world-dotnet-linux-x64-static-sf.tar,1,37765120,0.971567,1478758.438058,0.401060,3.431836,0.162654
./hello-world-dotnet-linux-x64-static-sf.tar.tar,1,37847040,0.971068,1507786.946412,0.400201,3.434086,0.163850
./hello-world-dotnet-linux-x64-static.tar,1,37765120,0.971567,1478787.724529,0.401059,3.431836,0.162656
./hello-world-dotnet-linux-x64-static.tar.tar,1,37847040,0.971068,1507826.866078,0.400200,3.434086,0.163853
./hello-world-gcc-linux-x64-debug.tar,1,163840,0.307589,129732.100000,0.055078,3.981248,0.434735
./hello-world-gcc-linux-x64-O0.tar,1,163840,0.258169,136564.787134,0.043512,3.982420,0.451810
./hello-world-gcc-linux-x64-O1.tar,1,163840,0.256998,136721.864160,0.043250,3.984764,0.451585
./hello-world-gcc-linux-x64-O2.tar,1,163840,0.258006,136586.699438,0.043475,3.981248,0.453864
./hello-world-gcc-linux-x64-O3.tar,1,163840,0.258142,136568.439062,0.043506,3.981248,0.454230
./hello-world-gcc-linux-x64-Of.tar,1,163840,0.264232,135747.985571,0.044879,3.984764,0.456928
./hello-world-gcc-linux-x64-Og.tar,1,163840,0.257270,136685.326563,0.043311,3.984764,0.452765
./hello-world-gcc-linux-x64-Os.tar,1,163840,0.258332,136542.876587,0.043549,3.983592,0.456206
./hello-world-gcc-linux-x64-static.tar,1,6717440,0.929310,647467.924390,0.344769,3.362554,0.308780
./hello-world-gcc-linux-x64-static.tar.tar,1,6799360,0.925456,690459.723457,0.340667,3.372805,0.313057
./hello-world-graalvm-linux-x64-debug.tar,1,381173760,0.941219,30636981.765377,0.358247,3.935470,0.091444
./hello-world-graalvm-linux-x64-debug.tar.tar,1,381255680,0.941155,30676439.582093,0.358171,3.933975,0.091552
./hello-world-graalvm-linux-x64-O0.tar,1,48824320,0.874493,8245584.231147,0.294523,3.637434,0.264588
./hello-world-graalvm-linux-x64-O0.tar.tar,1,48906240,0.873879,8298554.170112,0.294037,3.640802,0.265093
./hello-world-graalvm-linux-x64-O1.tar,1,44154880,0.873619,7507322.961040,0.293831,3.613333,0.291140
./hello-world-graalvm-linux-x64-O1.tar.tar,1,44236800,0.872939,7560425.755269,0.293295,3.630612,0.291675
./hello-world-graalvm-linux-x64-O2.tar,1,53002240,0.893975,7597588.796736,0.310696,3.566265,0.283579
./hello-world-graalvm-linux-x64-O2.tar.tar,1,53084160,0.893430,7647396.224328,0.310223,3.568298,0.284068
./hello-world-graalvm-linux-x64-O3.tar,1,64552960,0.912195,7696874.744579,0.327349,3.504106,0.277552
./hello-world-graalvm-linux-x64-O3.tar.tar,1,64634880,0.911769,7743235.809990,0.326940,3.492449,0.277990
./hello-world-graalvm-linux-x64-Os.tar,1,39895040,0.867797,7085410.420440,0.289286,3.655478,0.292744
./hello-world-graalvm-linux-x64-Os.tar.tar,1,39976960,0.867039,7139372.580627,0.288702,3.680774,0.293323
./hello-world-graalvm-linux-x64-prof.tar,1,417464320,0.933692,37782618.935854,0.349580,3.924250,0.106480
./hello-world-graalvm-linux-x64-prof.tar.tar,1,417546240,0.933631,37824070.130609,0.349512,3.926716,0.106573
./jmh-native-graalvm-linux-x64-debug.tar,1,151633920,0.899397,20651448.200393,0.315478,3.551366,0.260374
./jmh-native-graalvm-linux-x64-debug.tar.tar,1,151715840,0.899209,20700246.916030,0.315310,3.546058,0.260554
./jmh-native-graalvm-linux-x64-O0.tar,1,151633920,0.899550,20620647.547934,0.315616,3.559717,0.255852
./jmh-native-graalvm-linux-x64-O0.tar.tar,1,151715840,0.899362,20669437.397755,0.315448,3.553914,0.256034
./jmh-native-graalvm-linux-x64-O1.tar,1,139018240,0.909140,17139724.627701,0.324436,3.523387,0.266937
./jmh-native-graalvm-linux-x64-O1.tar.tar,1,139100160,0.908940,17186690.137079,0.324247,3.516772,0.267141
./jmh-native-graalvm-linux-x64-O2.tar,1,184074240,0.919305,20204838.157185,0.334346,3.467530,0.266459
./jmh-native-graalvm-linux-x64-O2.tar.tar,1,184156160,0.919160,20249681.026695,0.334199,3.473112,0.266620
./jmh-native-graalvm-linux-x64-O3.tar,1,236503040,0.931955,21956351.630848,0.347654,3.425901,0.256197
./jmh-native-graalvm-linux-x64-O3.tar.tar,1,236584960,0.931847,21998256.445745,0.347535,3.423614,0.256332
./jmh-native-graalvm-linux-x64-Os.tar,1,122798080,0.898911,16802995.374742,0.315044,3.575991,0.271094
./jmh-native-graalvm-linux-x64-Os.tar.tar,1,122880000,0.898678,16851899.833857,0.314837,3.571970,0.271314
./jmh-native-graalvm-linux-x64-prof.tar,1,185712640,0.925333,18889231.310115,0.340538,3.526953,0.225145
./jmh-native-graalvm-linux-x64-prof.tar.tar,1,185794560,0.925191,18932717.477503,0.340390,3.520887,0.225318
./jq-clang-linux-x64-debug.tar,1,491520,0.782420,140639.091797,0.232544,3.575781,0.377247
./jq-clang-linux-x64-debug.tar.tar,1,573440,0.721663,206620.840290,0.199867,3.642391,0.402398
./jq-clang-linux-x64-O0.tar,1,409600,0.741347,137856.728213,0.209929,3.499824,0.449996
./jq-clang-linux-x64-O0.tar.tar,1,491520,0.670248,206963.197664,0.175551,3.592188,0.472415
./jq-clang-linux-x64-O1.tar,1,327680,0.736372,112261.064502,0.207343,3.728098,0.386182
./jq-clang-linux-x64-O1.tar.tar,1,409600,0.649883,182110.228164,0.166606,3.766553,0.415798
./jq-clang-linux-x64-O2.tar,1,327680,0.725472,116569.749036,0.201779,3.702901,0.394970
./jq-clang-linux-x64-O2.tar.tar,1,409600,0.639454,186999.488682,0.162161,3.762803,0.423182
./jq-clang-linux-x64-O3.tar,1,327680,0.747835,107700.743408,0.213348,3.671257,0.398252
./jq-clang-linux-x64-O3.tar.tar,1,409600,0.660945,176888.587852,0.171421,3.748740,0.428288
./jq-clang-linux-x64-Of.tar,1,327680,0.749388,107080.179211,0.214175,3.682391,0.396935
./jq-clang-linux-x64-Of.tar.tar,1,409600,0.662408,176195.309414,0.172065,3.730927,0.427175
./jq-clang-linux-x64-Og.tar,1,327680,0.744437,109055.680676,0.211551,3.713449,0.369695
./jq-clang-linux-x64-Og.tar.tar,1,409600,0.657638,178453.441406,0.169971,3.774522,0.400969
./jq-clang-linux-x64-Os.tar,1,327680,0.717117,119853.903125,0.197607,3.725754,0.391183
./jq-clang-linux-x64-Os.tar.tar,1,409600,0.631481,190715.078213,0.158821,3.791867,0.418891
./jq-clang-linux-x64-static.tar,1,81920,0.035896,80684.692383,0.003784,4.000000,0.443054
./jq-clang-linux-x64-static.tar.tar,1,163840,0.036190,161345.567285,0.003821,4.000000,0.443561
